Random:
Bubble Sort,100000,49.972462
Insertion Sort,100000,15.167
Selection Sort,100000,15.293
Quick Sort,100000,0.023
Heap Sort,100000,0.038
Radix Sort,100000,0.016
Merge Sort,100000,0.057
Timsort,100000,0.032

Almost:
Bubble Sort,100000,16.012370
Insertion Sort,100000,0.14
Quick Sort,100000,28.796
Selection Sort,100000,16.289
Heap Sort,100000,0.053
Radix Sort,100000,0.03
Merge Sort,100000,0.095
Timsort,100000,0.032

Reverse:
Bubble Sort,100000,52.648953
Insertion Sort,100000,72.286
Quick Sort,100000,34.493
Selection Sort,100000,34.53
Heap Sort,100000,0.046
Radix Sort,100000,0.029
Merge Sort,100000,0.065
Timsort,100000,0.037

