Random:
Bubble Sort,10000,0.481296
Insertion Sort,10000,0.138
Selection Sort,10000,0.18
Quick Sort,10000,0.002
Heap Sort,10000,0.003
Radix Sort,10000,0.002
Merge Sort,10000,0.005
Timsort,10000,0.003

Almost:
Bubble Sort,10000,0.192955
Insertion Sort,10000,0
Selection Sort,10000,0.188
Quick Sort,10000,0.48
Heap Sort,10000,0.002
Radix Sort,10000,0
Merge Sort,10000,0.006
Timsort,10000,0.001

Reverse:
Bubble Sort,10000,0.848924
Insertion Sort,10000,0.274
Selection Sort,10000,0.181
Quick Sort,10000,0.341
Heap Sort,10000,0.001
Radix Sort,10000,0.003
Merge Sort,10000,0.004
Timsort,10000,0.002
